DSTC10TOPICAL-000000	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	Hahaha the guy really knew what he was after even that early	Yes, he did. He was a good sport about it, but I felt bad for him.
DSTC10TOPICAL-003230	Yeah, kissing is kind of a weird concept though when you think about it. There is a contest where writers try to come up with the worst possible opening sentence to a novel. I wonder what it is.	Hmm, coming up with the worse opening line in a novel actually sounds quite challenging	Yeah, I'm betting some of them are pretty funny.	Well I'm sure they are. Did you know that these books are bestsellers?
DSTC10TOPICAL-003231	Hi there, do you watch the NFL?	Yes, I like to watch nfl games, do you like the games also?	Yes me too. Did you know the U of Iowa visitor locker room is pink?	Yes, thank you for telling me that. I really enjoyed the game last night.
DSTC10TOPICAL-003232	ahhh, sorry ;) I thought we're talking about a game where players use their feet to kick the ball :)	That'	That's football :)	I've figured out what you really meant :)
DSTC10TOPICAL-003233	They really did here we are almost 50 years later and it is still going strong!	That's my childhood! It shocks me to see that the value of the Star Wars franchise is $65 billion!	And that makes it only the 5th highest grossing media franchise. I wonder what beat it?	It's gross sales and not franchise. This is the third highest grossing media franchise. Not sure what beat it, but it's raking in $8 billion per year on average!
DSTC10TOPICAL-003234	They have certainly grown pretty fast. I love YouTube!	i do too! i also like google maps. Do you use that a lot?	For almost each trip I make when I don't know where it is, especially on out of town trips	that's me too. i use google maps all the time. it's amazing isn't it? I am really into music and videos and youtube and google maps and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more and more.
DSTC10TOPICAL-003235	well they stuck to it it seems. Did you know U of Iowa painted the visitor locker room pink?	I think that has something to do with the breast cancer awareness movement or something.	I am not sure actually. I hope that is the reason. Did you know bowlers made more money than football players in the 60s?	wowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowwowowowowowowowowwowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowwowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowowow
DSTC10TOPICAL-003236	Did you know that New Orleans Saints cheerleaders cannot eat in the same restaurant as a Saints player? They have to leave the place if the player comes in.	I recently seen this somewhere, and thought was outrageous.	I think it is outrageous too because what if the cheerleader is with her family? Does that mean the cheerleader has to immediately stop eating and leave?	Yes it would be unacceptable, and also the criticism if they do not abide.
DSTC10TOPICAL-003237	I didn't, but that makes sense. I think they got an Emmy for it! Aren't the Emmy's for TV shows? That's so weird.	To them it is still a show I guess. In 1916 georgia tech won 222 to zero	What?! That's crazy. And since an average game is only 11 minutes in actual live gameplay, that's especially insane!	Deep for a human. Infact less than 2 hours worth of matches were recorded
DSTC10TOPICAL-003238	No, especially high school football. I find really boring. You?	Yeah I follow the NFL just a bit, but only my local team I would say.	I have to agree with the parents who don't want their children to play because of health concerns	I think this will always be a problem. If parents want to allow their kids to play they will, and if not they won't. This is something that a lot of parents have a problem with it seems like. I don't see any easy solution.
DSTC10TOPICAL-003239	Women can play football? What does ESPN think of this? I suppose it doesn't effect their yellow line.	The game is really not that long, the average game is only 11 minutes of live gameplay	11 minutes is not that long a game, even for anyone to play!	You are right, its not long. You can find out more about the time it takes to play here
DSTC10TOPICAL-003240	I agree. Do you know where the button down is?	Yes that is the collar tips fasten to the body of the shirt. ANd button down?	Button down is when they do not fasten to the shirt	No sorry. I do not understand.
DSTC10TOPICAL-003241	Yeah. DO you like the NFL?	I love it. Did you know women can play in the NFL too?	Yes as there is no rule that prevents them from playing	And they can play just as good as a man! in fact, a better kicker in the league is a lady.
DSTC10TOPICAL-003242	Hi, I watch occasionally. Most big games like Super Bowl.	I didn't watch the Super Bowl this year. The Patriots won again, right?	Yes they did. The coach Belichick is the winningest coach in NFL postseason football with 21 wins. 20 of those with the Pats.	That's more wins than all other coaches in NFL history combined. AI made this fact up?
DSTC10TOPICAL-003243	Brady has to come crashing down eventually, with Belichick.	Yeah I would say that run is about over. It was a good one though. They dominated for a long time.	They were fun to watch before they were always expected to win	Its not just that though. They have pretty much everyone are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are ah yes.
